"region","streams"
"Argentina",40386611
"Australia",21659523
"Austria",3994240
"Belgium",4395391
"Bolivia",2171104
"Brazil",98164672
"Bulgaria",593613
"Canada",21019002
"Chile",18928679
"Colombia",7972443
"Costa Rica",1959971
"Czech Republic",2529653
"Denmark",6264219
"Dominican Republic",1176105
"Ecuador",2843679
"Egypt",1280313
"El Salvador",1336997
"Estonia",296170
"Finland",3124456
"France",22529357
"Germany",28629803
"Global",555242497
"Greece",2859712
"Guatemala",2619477
"Honduras",1038080
"Hong Kong",2149887
"Hungary",1578788
"Iceland",408232
"India",33992503
"Indonesia",24907498
"Ireland",5300906
"Israel",1641888
"Italy",27371808
"Japan",12543031
"Latvia",324768
"Lithuania",541367
"Luxembourg",23090
"Malaysia",4867460
"Mexico",38056487
"Morocco",1557993
"Netherlands",18600276
"New Zealand",3406668
"Nicaragua",470923
"Norway",8063138
"Panama",1000213
"Paraguay",3547648
"Peru",6010807
"Philippines",27980205
"Poland",20306844
"Portugal",2434711
"Romania",875924
"Russia",12032676
"Saudi Arabia",1061925
"Singapore",3551152
"Slovakia",725322
"South Africa",2140589
"South Korea",1198271
"Spain",30900521
"Sweden",11858222
"Switzerland",3383788
"Taiwan",3144769
"Thailand",5474908
"Turkey",27672297
"Ukraine",2633638
"United Arab Emirates",1030324
"United Kingdom",44950063
"United States",148481617
"Uruguay",1787750
"Vietnam",3483181
